source_file,source_filename,processor,service_type,company_account,merchant_account,psp_reference,payment_method,record_date,dispute_date,dispute_date_timezone,dispute_end_date,dispute_end_date_timezone,dispute_amount,dispute_currency,dispute_amount_usd,fx_rate_used,scheme_code,reason_code,record_type,dispute_psp_reference,dispute_reason,risk_scoring,payment_date,payment_date_timezone,payment_amount,shopper_interaction,shopper_country,iban,bic,issuer_country,issuer_id,3d_directory_response,3d_authentication_response,cvc2_response,avs_response,dispute_auto_defended
Adyen/TenMexMerEcom/dispute_report_2024_04_30.csv,dispute_report_2024_04_30.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,G9KW3225DKLH4FG2,mc,2024-04-30,2024-04-30 01:31:42,BST,2024-06-09 01:31:42,BST,126.82,GBP,162.67,0.7796,mc,4837,NotificationOfChargeback,DJ37Q5NMNM5DP4G2,No Cardholder Authorisation,75,2024-02-07 19:03:04,GMT,646.5,Ecommerce,MY,,,DE,540187,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_30.csv,dispute_report_2024_04_30.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,ML2KZJQQZRB99VB2,mc,2024-04-30,2024-04-30 01:31:42,BST,2024-06-09 01:31:42,BST,123.07,USD,123.07,1.0,mc,4837,NotificationOfChargeback,NJ37Q5NMNM5DP4G2,No Cardholder Authorisation,50,2024-02-07 18:45:47,GMT,627.4,Ecommerce,MY,,,DE,540187,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_30.csv,dispute_report_2024_04_30.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,G9KW3225DKLH4FG2,mc,2024-04-30,2024-04-30 01:31:42,BST,2024-06-09 01:31:42,BST,126.82,EUR,133.66,0.9488,mc,4837,Chargeback,DJ37Q5NMNM5DP4G2,No Cardholder Authorisation,75,2024-02-07 19:03:04,GMT,646.5,Ecommerce,MY,,,DE,540187,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_30.csv,dispute_report_2024_04_30.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,ML2KZJQQZRB99VB2,mc,2024-04-30,2024-04-30 01:31:42,BST,2024-06-09 01:31:42,BST,123.07,USD,123.07,1.0,mc,4837,Chargeback,NJ37Q5NMNM5DP4G2,No Cardholder Authorisation,50,2024-02-07 18:45:47,GMT,627.4,Ecommerce,MY,,,DE,540187,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_24.csv,dispute_report_2024_04_24.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,ZPCTGKC6RBHVM232,visa,2024-04-24,2024-04-20 16:03:58,BST,2024-05-08 16:03:58,BST,85.26,USD,85.26,1.0,visa,10.4,Chargeback,TZP743MK73CCH4G2,Other Fraud-Card Absent Environment,50,2024-03-06 17:48:19,GMT,92.41,Ecommerce,BR,,,FR,497707,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_11_07.csv,dispute_report_2024_11_07.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUKMoto,S2WDR864BLSZ9ZX3,mc,2024-11-07,2024-11-07 16:07:25,GMT,2024-12-17 16:07:25,GMT,204.5,JPY,1.44,141.77,mc,4837,NotificationOfChargeback,PBFLJVNGVXTWPHZ3,No Cardholder Authorisation,0,2024-10-18 10:27:08,BST,204.5,Moto,ZA,,,GB,545140,,,1,0,False
Adyen/TenMexMerEcom/dispute_report_2024_04_27.csv,dispute_report_2024_04_27.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,RNDPJVX26KGTK2C2,mc,2024-04-27,2024-04-27 19:11:15,BST,2024-09-05 10:10:55,BST,407.11,GBP,539.29,0.7549,mc,6,NotificationOfFraud,TTVX7BMKNM5DP4G2,Card Not Present Fraud,75,2024-03-05 10:10:55,GMT,407.11,Ecommerce,MY,,,FR,528889,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_27.csv,dispute_report_2024_04_27.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,HF94BF5V5LN95B53,mc,2024-04-27,2024-04-27 19:11:15,BST,2024-09-05 10:04:03,BST,381.78,EUR,410.47,0.9301,mc,6,NotificationOfFraud,ZTPRCNLWZGQDPPH2,Card Not Present Fraud,60,2024-03-05 10:04:03,GMT,381.78,Ecommerce,MY,,,FR,528889,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_27.csv,dispute_report_2024_04_27.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,F9V2LLBC7HBLX453,mc,2024-04-27,2024-04-27 19:11:15,BST,2024-09-05 09:57:45,BST,418.44,GBP,554.3,0.7549,mc,6,NotificationOfFraud,RZGSD22S73CCH4G2,Card Not Present Fraud,35,2024-03-05 09:57:45,GMT,418.44,Ecommerce,MY,,,FR,528889,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_23.csv,dispute_report_2024_04_23.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,MT3P7WCN4NNNWPG2,visa,2024-04-23,2024-04-23 16:11:06,BST,2024-05-11 16:11:06,BST,73.41,EUR,79.55,0.9228,visa,10.4,NotificationOfChargeback,B79NBHBN73CCH4G2,Other Fraud-Card Absent Environment,50,2024-03-06 17:43:44,GMT,79.57,Ecommerce,BR,,,FR,497707,,,1,3,False
